close_value,cv_diff_value,cv_diff_rate,cv_ma3_value,cv_ma4_value,cv_ma5_value,cv_ma3_rate,cv_ma4_rate,cv_ma5_rate,ud_3d,ud_4d,ud_5d,cv3d_diff_rate,cv4d_diff_rate,cv5d_diff_rate,cv_diff_rate_rate,Skhynix_cv_diff_value,samsung_cv_diff_value,kosdaq_diff_rate
1970,-5,-0.253164557,1971,1971,1971,0,0,0.101574403,0,0,0,-0.002538071,-0.002538071,-0.002538071,-0.506971664,800,-5000,2.45
1975,5,0.253807107,1969,1969,1969,0.084602369,0.190597205,-0.050761421,0,0,0,0,0,0.005102041,0.253807107,-1300,-71000,0.44
1970,0,0,1970,1970,1970,0.169491525,-0.126903553,-0.050735667,0,0,0,0.002538071,0.007653061,-0.002525253,0,1000,75000,1.22
1970,0,0,1971,1971,1971,-0.169204738,-0.063411541,0.050761421,0,0,0,0.005102041,-0.005050505,-0.002531646,-0.510204082,500,31000,1.43
1970,10,0.510204082,1970,1970,1970,-0.084530854,0.063451777,0.152516523,0,0,0,-0.005050505,-0.002531646,0.002544529,1.520305092,1400,14000,-0.26
1960,-20,-1.01010101,1967,1967,1967,-0.084459459,0.063492063,-0.152284264,0,0,0,-0.002531646,0.002544529,0.007672634,-1.263265567,400,39000,0.26
1980,5,0.253164557,1970,1970,1970,0.42408821,0.063532402,0,0,0,0,-0.002544529,0.002557545,-0.007594937,-0.255741295,-100,52000,-1.41
1975,10,0.508905852,1970,1970,1970,0,-0.063492063,0.050787202,1,0,0,0.012787724,0.002531646,0,-0.002603099,1300,5000,0.88
1965,10,0.511508951,1969,1969,1969,-0.253807107,-0.063451777,0,0,0,0,0,-0.002525253,0.002538071,1.524167179,0,73000,1.43
1955,-20,-1.012658228,1969,1969,1969,-0.253164557,-0.126742712,-0.101471334,0,0,0,-0.007575758,-0.002538071,0,-0.760132975,400,24000,-1.08
1975,-5,-0.252525253,1971,1971,1971,0.169061708,0.126903553,0.152439024,0,0,0,-0.007614213,-0.005089059,-0.005089059,-0.760139466,600,24000,0.1
1980,10,0.507614213,1968,1968,1968,0.254237288,0.254452926,0.203665988,0,0,0,0.005089059,0.005089059,0.007653061,0.253161287,1550,-31000,-0.6
1970,5,0.254452926,1964,1964,1964,0.169779287,0.127388535,0.152983172,0,0,0,0.007633588,0.010204082,0.010204082,0.254452926,-350,-30000,-0.06
1965,0,0,1961,1961,1961,0.084961767,0.12755102,0.102092905,0,0,0,0.005102041,0.005102041,0.007672634,-0.255102041,1000,-3000,1.25
1965,5,0.255102041,1959,1959,1959,0.170212766,0.127713921,0.102197241,0,0,0,0.00255102,0.00511509,0.00511509,0.255102041,-600,-23000,1.79
1960,0,0,1957,1957,1957,0.085178876,0.063897764,-0.051072523,0,0,0,0.00511509,0.00511509,0.00511509,-0.255754476,50,-20000,-0.37
1960,5,0.255754476,1958,1958,1958,0.085251492,-0.06385696,0,0,0,0,0.002557545,0.002557545,-0.002544529,0.255754476,750,26000,-0.32
1955,0,0,1958,1958,1958,-0.170212766,-0.063816209,0,0,0,0,0.002557545,-0.002544529,0,0,150,15000,0.17
1955,0,0,1958,1958,1958,-0.085034014,0,0.05109862,-1,0,0,-0.005089059,-0.00255102,0,0.508905852,-150,-17000,0.23
1955,-10,-0.508905852,1957,1957,1957,0,0.06385696,0.051124744,0,0,0,-0.00255102,0,0.002564103,-0.764007893,-800,17000,-1.77
1965,5,0.255102041,1956,1956,1956,0.255754476,0.19193858,-0.05109862,0,0,0,0,0.002564103,0.002564103,-0.000652435,400,-12000,0.12
1960,5,0.255754476,1957,1957,1957,0.170794193,-0.127795527,-0.051072523,1,0,0,0.007692308,0.007692308,-0.002538071,-0.00065578,-900,-15000,0.96
